statement,class_id,class_name
"uint8_t sum = 0, temp = 78;",3,Declaration
"memset(code, 0, 42);",13,Memory Allocation
return index == NULL;,5,Return
for (int sum = 0; count < 63; j++) sum++;,9,Increment/Decrement
return 0;,5,Return
if (!index || total > 5) { },2,Conditional
if ((x & 59) != 0) { },10,Bitwise Operation
switch (size) { },2,Conditional
if (!(code && value)) { },11,Logical Expression
code.head++;,8,Struct Access
temp.prev--;,8,Struct Access
"ret = calloc(81, sizeof(int));",13,Memory Allocation
if (fopen(x) && k <= 56) { },11,Logical Expression
value = temp + 77;,0,Assignment
for (z = 0; code < result; j++) { },1,Loop
if (flag && !flag) { },11,Logical Expression
if (!ret || i > 46) { },2,Conditional
while ((j = rand(ret)) > 0) { },1,Loop
bool len = !value && !count;,11,Logical Expression
flag >>= 1;,9,Increment/Decrement
flag = memset(count) - z;,0,Assignment
"fclose(code, k);",4,Function Call
*count += 4;,7,Pointer Operation
return k - 89;,5,Return
(x++);,9,Increment/Decrement
len = NULL;,0,Assignment
vals[112] = y;,6,Array Access
k = malloc(sizeof(uint32_t));,13,Memory Allocation
x = (uint8_t) rand(value);,12,Cast Expression
for (int temp = 1; k < 92; temp *= 2) { },1,Loop
sum = new float[13];,13,Memory Allocation
return j == NULL;,5,Return
z.head = 123;,8,Struct Access
"if (n >= 67) throw std::runtime_error(""size"");",14,Exception Handling
if (static_cast<uint8_t>(flag) == 7) { },12,Cast Expression
uint8_t flag = result - 124;,3,Declaration
temp = 38 + 83;,0,Assignment
"size_t *size = (uint32_t *) realloc(n, 51);",13,Memory Allocation
size_t j = (j || total);,11,Logical Expression
"float i = fopen(n, 46);",3,Declaration
"printf(""%d %d\n"", k, flag);",4,Function Call
return i > flag;,5,Return
"float *index = (double *) realloc(i, 95);",13,Memory Allocation
z = (sum < flag) ? 1 : 0;,11,Logical Expression
k = &result;,7,Pointer Operation
for (int temp = 0; code < x; ++count) { },1,Loop
list[x]++;,9,Increment/Decrement
while (count > size) { },1,Loop
ret = new int[14];,13,Memory Allocation
"printf(&len, 30);",4,Function Call
len = err ^ n;,10,Bitwise Operation
j->size--;,8,Struct Access
stack[result]--;,6,Array Access
if (value & 25) { },10,Bitwise Operation
(i--);,9,Increment/Decrement
if (memset(offset) == 0) { },2,Conditional
x = size | 122;,10,Bitwise Operation
char err = value.prev;,8,Struct Access
z = 96;,0,Assignment
return count + i;,5,Return
matrix[j][value] = 104;,6,Array Access
if (offset && temp) { },11,Logical Expression
for (int j = 0; x <= 41; i++) { },1,Loop
return 30;,5,Return
std::unique_ptr<int64_t> result = std::make_unique<long>();,13,Memory Allocation
y = total;,0,Assignment
j = z + value + 16;,0,Assignment
return temp > 0 && y < 67;,5,Return
for (int k = 0; len < value; ++flag) { },1,Loop
size = (int) 3;,12,Cast Expression
count = result | code;,10,Bitwise Operation
code = sizeof(long);,0,Assignment
table[x]--;,6,Array Access
list[sum][y] = 114;,6,Array Access
while ((offset = fopen(offset)) > 0) { },1,Loop
return x / 61;,5,Return
do { } while (ret < 26);,1,Loop
delete[] offset;,13,Memory Allocation
total.prev++;,8,Struct Access
if (k != 0) throw std::bad_alloc();,14,Exception Handling
do { } while (k >= 106);,1,Loop
count = 8 + 52;,0,Assignment
"scanf(""%d"", &k);",4,Function Call
"rand(offset, &flag);",4,Function Call
for (x = 0; value < 48; size++) { },1,Loop
len &= index;,10,Bitwise Operation
if (data[size] > 121) { },6,Array Access
(++result);,9,Increment/Decrement
return i / 120;,5,Return
uint32_t sum[57] = {0};,3,Declaration
for (int code = 0; n < sum; ++result) { },1,Loop
x = index | (1 << 75);,10,Bitwise Operation
"if (code > 24) throw std::runtime_error(""overflow"");",14,Exception Handling
if (k || result) { },11,Logical Expression
fclose(size);,4,Function Call
const size_t y = (uint32_t) offset;,12,Cast Expression
code &= 114;,10,Bitwise Operation
i = 125;,0,Assignment
return err % 16 == 0;,5,Return
if (*code == 46) { },7,Pointer Operation
node_destroy(index);,4,Function Call
err = data[n] + 57;,6,Array Access
table[sum][ret] = 8;,6,Array Access
(count--);,9,Increment/Decrement
for (int flag = 0; z < 119; value++) flag++;,9,Increment/Decrement
++stack[value];,9,Increment/Decrement
"exp(""y"", 99);",4,Function Call
(*z)--;,9,Increment/Decrement
if (code < 34) { },2,Conditional
if (*len == 119) { },7,Pointer Operation
ret.left++;,8,Struct Access
result = temp ? 61 : 8;,0,Assignment
char len[94][123];,3,Declaration
free(total); z = NULL;,13,Memory Allocation
const double sum = (int) value;,12,Cast Expression
n = len == 49 && len != 20;,11,Logical Expression
if (size != NULL) { },2,Conditional
"memcpy(n, flag, 28);",4,Function Call
return (index > 1) ? ret : 46;,5,Return
value = (unsigned int) count;,12,Cast Expression
if (result == NULL) { },2,Conditional
if (n == 54) { },2,Conditional
y->left = 39;,8,Struct Access
uint32_t value;,3,Declaration
memcpy(NULL);,4,Function Call
code->next = flag;,8,Struct Access
if (x < 80) { },2,Conditional
"len = (int *) calloc(24, sizeof(uint8_t));",13,Memory Allocation
size_t *count = reinterpret_cast<bool *>(x);,12,Cast Expression
"memcpy(index, code, 8);",4,Function Call
"long code = memset(j, 86);",3,Declaration
float index = static_cast<long>(value);,12,Cast Expression
index ^= y;,10,Bitwise Operation
return z >= 0;,5,Return
char *sum = NULL;,7,Pointer Operation
"throw std::bad_alloc(""err"");",14,Exception Handling
arr[j % 115] = k;,6,Array Access
size_t sum = (ret && len);,11,Logical Expression
try { } catch (...) { },14,Exception Handling
"if (j > 3) throw std::out_of_range(""overflow"");",14,Exception Handling
offset = size / code;,0,Assignment
count.len = 46;,8,Struct Access
i = len + 32;,0,Assignment
value = new char();,13,Memory Allocation
i.flags = n.size;,8,Struct Access
count = dynamic_cast<size_t *>(index);,12,Cast Expression
size = result->prev;,8,Struct Access
n = ~n;,10,Bitwise Operation
if (flag == &err) { },7,Pointer Operation
ret.flags = n.prev;,8,Struct Access
(*z)--;,9,Increment/Decrement
result = offset & flag;,10,Bitwise Operation
temp = z << 87;,10,Bitwise Operation
return memset(sum);,5,Return
strlen(fopen(y));,4,Function Call
"throw std::runtime_error(""invalid "" + std::to_string(err));",14,Exception Handling
sum = malloc(sizeof(double) * 120);,13,Memory Allocation
bool *result = new size_t[49];,13,Memory Allocation
total = ret * result - 55;,0,Assignment
size = x ? result : k;,0,Assignment
"memset(len, 0, 14);",13,Memory Allocation
if (len == 31 || n == 104) { },2,Conditional
if (*k != NULL) { },7,Pointer Operation
if ((temp < 12) || (offset <= 111)) { },2,Conditional
count = (float) 103;,12,Cast Expression
if (ret > 0 && temp < 18) { },2,Conditional
(*z)++;,7,Pointer Operation
temp->flags--;,9,Increment/Decrement
free(ret);,4,Function Call
while (y) { },1,Loop
if (index == &x) { },7,Pointer Operation
x = (uint32_t) (len + sum);,12,Cast Expression
while (!size) { },1,Loop
count = offset;,0,Assignment
for (int code = 0; len < 61; value += 2) { },1,Loop
catch (std::runtime_error &err) { },14,Exception Handling
while (x <= j) { },1,Loop
"if (result < 0) throw std::invalid_argument(""j"");",14,Exception Handling
"uint32_t *temp = (double *) realloc(result, 3);",13,Memory Allocation
while (size != NULL) { },1,Loop
static size_t total;,3,Declaration
k = 0;,0,Assignment
size = (bool) z * 59;,12,Cast Expression
if (!i && ret) { },11,Logical Expression
temp >>= 1;,9,Increment/Decrement
result = flag & ret;,10,Bitwise Operation
"printf(temp, &y);",4,Function Call
total &= 32;,10,Bitwise Operation
if (total.len == 0) { },8,Struct Access
temp = (uint32_t) i + 62;,12,Cast Expression
"memcpy(err, log(z));",4,Function Call
total |= x;,10,Bitwise Operation
temp->flags--;,8,Struct Access
flag = count ? 63 : 92;,0,Assignment
"log(ret, code, j);",4,Function Call
sum = j + temp;,0,Assignment
matrix[flag - 1] = 115;,6,Array Access
auto z = 122;,3,Declaration
assert(j != NULL);,14,Exception Handling
return result > x;,5,Return
if (k != 0) throw std::bad_alloc();,14,Exception Handling
err.data--;,8,Struct Access
x = vals[temp] + 42;,6,Array Access
bool y = k || !len;,11,Logical Expression
value = nums[n] + queue[result];,6,Array Access
data[value]++;,6,Array Access
(++k);,9,Increment/Decrement
(--offset);,9,Increment/Decrement
k.right = k.data + 109;,8,Struct Access
list[size]++;,9,Increment/Decrement
"total = calloc(113, sizeof(uint32_t));",13,Memory Allocation
packet_destroy(j);,4,Function Call
const char k = (float) offset;,12,Cast Expression
assert(value == offset);,14,Exception Handling
offset = reinterpret_cast<uint8_t *>(sum);,12,Cast Expression
assert(size > 0);,14,Exception Handling
x = size >> 54;,10,Bitwise Operation
offset <<= 116;,9,Increment/Decrement
static int n = 97;,3,Declaration
for (int i = 100; flag > 0; k--) { },1,Loop
j = !(sum == 65);,11,Logical Expression
if (sum->head != 102) { },8,Struct Access
value |= 3;,10,Bitwise Operation
int *sum = malloc(sizeof(bool));,13,Memory Allocation
if (size != 91) { },2,Conditional
return -1;,5,Return
"if ((index = calloc(39, sizeof(uint32_t))) == NULL) { }",13,Memory Allocation
data[n] = 94;,6,Array Access
try { } catch (std::bad_alloc &size) { },14,Exception Handling
if (i & err) { },10,Bitwise Operation
char k = (total || len);,11,Logical Expression
ret = y - n;,0,Assignment
throw;,14,Exception Handling
k->size--;,9,Increment/Decrement
*(temp + 42) = k;,7,Pointer Operation
total = code / i;,0,Assignment
(*size)++;,9,Increment/Decrement
if (!count) { },2,Conditional
value = (uint8_t *) count;,12,Cast Expression
do { } while (y);,1,Loop
err = (unsigned int) code;,12,Cast Expression
(*ret)--;,7,Pointer Operation
ret = (result == 7) && (j >= 4);,11,Logical Expression
volatile int64_t sum;,3,Declaration
flag = 77 * 9;,0,Assignment
assert(temp < 13);,14,Exception Handling
result = result.prev;,8,Struct Access
free(temp);,13,Memory Allocation
if (ret == 56 || offset == 123) { },2,Conditional
return flag->tail;,8,Struct Access
offset = size ^ sum;,10,Bitwise Operation
sum = matrix[j - 1];,6,Array Access
data[size]++;,9,Increment/Decrement
while (!result) { },1,Loop
temp->len = n->head;,8,Struct Access
"result = realloc(size, sizeof(int) * 13);",13,Memory Allocation
if ((i & 39) != 0) { },10,Bitwise Operation
if (y) { },2,Conditional
"int value = 0, flag = 50;",3,Declaration
z = malloc(50);,13,Memory Allocation
try { } catch (const std::runtime_error &temp) { } catch (...) { },14,Exception Handling
flag = sqrt(x);,0,Assignment
buf[i - 1] = 109;,6,Array Access
list[88] = log(z);,6,Array Access
index = z + y + 85;,0,Assignment
(z++);,9,Increment/Decrement
data[flag % 88] = z;,6,Array Access
if (y > 39) { },2,Conditional
"printf(""%d %d\n"", i, offset);",4,Function Call
long sum = len.tail;,8,Struct Access
"x = calloc(14, sizeof(long));",13,Memory Allocation
std::unique_ptr<double> err = std::make_unique<long>();,13,Memory Allocation
flag = (uint8_t *) flag;,12,Cast Expression
"printf(""%d\n"", y);",4,Function Call
if (!err && k) { },11,Logical Expression
return -1;,5,Return
(*y)++;,7,Pointer Operation
if ((value == 51) || (k <= 78) || x) { },11,Logical Expression
err = *result + *ret;,7,Pointer Operation
if (k->size >= 3) { },8,Struct Access
"log(&size, 9);",4,Function Call
const char ret = (char) x;,12,Cast Expression
"log(""total"", 67);",4,Function Call
(*count)--;,9,Increment/Decrement
*(y + 126) = code;,7,Pointer Operation
k = *(sum + 58);,7,Pointer Operation
throw std::bad_alloc();,14,Exception Handling
return (uint32_t) z;,12,Cast Expression
if (ret == &code) { },7,Pointer Operation
code = (size_t) (n - 118);,12,Cast Expression
temp.tail--;,8,Struct Access
sum = !code;,11,Logical Expression
buf[index - 1] = 106;,6,Array Access
for (int flag = 0; index < flag; ++n) { },1,Loop
++(*ret);,9,Increment/Decrement
fclose(result);,4,Function Call
bool i = offset.key;,8,Struct Access
result >>= 1;,9,Increment/Decrement
if (n == count && temp != 111) { },2,Conditional
bool len = !code && !k;,11,Logical Expression
"if (z < 0) throw std::bad_alloc(""i"");",14,Exception Handling
(*temp)++;,7,Pointer Operation
code ^= 90;,10,Bitwise Operation
ret = (uint32_t) 104;,12,Cast Expression
ret = (double) sum;,12,Cast Expression
for (int n = 0; code <= 20; temp++) { },1,Loop
*k = *total + 73;,7,Pointer Operation
while (err != NULL) { },1,Loop
"printf(""%d\n"", z);",4,Function Call
if (static_cast<long>(x) <= 29) { },12,Cast Expression
list[y] = buf[offset - 1];,6,Array Access
bool err = y;,3,Declaration
if (total >= 61) { },2,Conditional
if ((int64_t) n == 30) { },12,Cast Expression
return (long) ret;,12,Cast Expression
index = scanf(offset) + 100;,0,Assignment
if (index || z) { },11,Logical Expression
--z;,9,Increment/Decrement
total = (int *) n;,12,Cast Expression
data[count] = 92;,6,Array Access
ret = result | (1 << 43);,10,Bitwise Operation
return sizeof(uint8_t);,5,Return
assert(x < 1);,14,Exception Handling
if (total != 0) { },2,Conditional
len = (uint32_t) exp(code);,12,Cast Expression
k = j | 107;,10,Bitwise Operation
int flag = x;,3,Declaration
j = err & ~120;,10,Bitwise Operation
if (total.prev > 89) { },8,Struct Access
delete[] index;,13,Memory Allocation
if (z) { },2,Conditional
if (result > 26) { },2,Conditional
switch (sum) { },2,Conditional
long len[7];,3,Declaration
value->len += 63;,8,Struct Access
ret = queue[0];,6,Array Access
static uint32_t j = 34;,3,Declaration
"if (len < 0) throw std::invalid_argument(""result"");",14,Exception Handling
n = (count & 121) >> 123;,10,Bitwise Operation
*j -= 79;,7,Pointer Operation
long *y = malloc(sizeof(size_t) * 120);,13,Memory Allocation
j = index % 124;,0,Assignment
for (int value = 0; offset <= 53; n++) { },1,Loop
arr[offset][len] = 100;,6,Array Access
y = (len & 77) >> 100;,10,Bitwise Operation
const int64_t total = rand(x);,3,Declaration
*x = value;,7,Pointer Operation
if (ret < ret) { },2,Conditional
z ^= total;,10,Bitwise Operation
total--;,9,Increment/Decrement
value.tail = y;,8,Struct Access
uint32_t ret = (size_t) count;,12,Cast Expression
return (i == sum) ? 1 : 0;,5,Return
len = ret & code;,10,Bitwise Operation
char i = size + 27;,3,Declaration
while (z <= 59 && offset > 0) { },1,Loop
if ((sum <= 79) && (value > 28) && total) { },11,Logical Expression
sum = (k >> 111) & 21;,10,Bitwise Operation
char i = static_cast<uint32_t>(i);,12,Cast Expression
"if (count < 0) throw std::out_of_range(""code"");",14,Exception Handling
"scanf(""%d"", &sum);",4,Function Call
y = (uint32_t) y + 124;,12,Cast Expression
int value = static_cast<long>(i);,12,Cast Expression
try { } catch (...) { },14,Exception Handling
if (!(ret || index)) { },11,Logical Expression
volatile char len;,3,Declaration
if (result != NULL) { },2,Conditional
"printf(""%d %d\n"", code, j);",4,Function Call
offset = scanf(temp) - len;,0,Assignment
if (n.key >= 84) { },8,Struct Access
k = j ? 95 : 89;,0,Assignment
queue[43] = fclose(len);,6,Array Access
"z = printf(value, 94);",0,Assignment
if (memcpy(y) > 23) { },2,Conditional
if (y != 119) { },2,Conditional
while (ret) { },1,Loop
++(*y);,9,Increment/Decrement
(*index)++;,7,Pointer Operation
return (long *) x;,12,Cast Expression
err = sizeof(double);,0,Assignment
if (!value) { },2,Conditional
return z - 51;,5,Return
while (sum > err) { },1,Loop
"temp = (float *) calloc(46, sizeof(double));",13,Memory Allocation
(*code)++;,9,Increment/Decrement
while ((ret = sqrt(flag)) > 0) { },1,Loop
if (k == 91) { },2,Conditional
(--flag);,9,Increment/Decrement
double total;,3,Declaration
"printf(""%s\n"", value);",4,Function Call
if ((result == 56) && (j < 101) && len) { },11,Logical Expression
value <<= 51;,9,Increment/Decrement
int *x = (long *) z;,7,Pointer Operation
*(index + 66) = code;,7,Pointer Operation
count->next = 40;,8,Struct Access
auto err = memcpy(offset);,3,Declaration
return 110;,5,Return
"log(&sum, 54);",4,Function Call
k = len | total;,10,Bitwise Operation
index->prev = x;,8,Struct Access
long value = (float) err;,12,Cast Expression
std::unique_ptr<float> count = std::make_unique<int>();,13,Memory Allocation
if (*k != NULL) { },7,Pointer Operation
--value;,9,Increment/Decrement
size_t i = !z;,11,Logical Expression
for (; index < 90;) { },1,Loop
for (int code = 1; j < 25; total *= 2) { },1,Loop
"fopen(sum, NULL);",4,Function Call
*temp = log(total);,7,Pointer Operation
"log(x, temp);",4,Function Call
y = 20 * 20;,0,Assignment
temp = x && code;,11,Logical Expression
void *x = (void *) len;,7,Pointer Operation
"static_assert(sizeof(size_t) == 1, ""size mismatch"");",14,Exception Handling
count = (z != 124) && (y != 67);,11,Logical Expression
if (!(size || x)) { },11,Logical Expression
if ((k == 9) || (code <= 114)) { },2,Conditional
result.size = y;,8,Struct Access
i |= 119;,10,Bitwise Operation
const double len = fclose(code);,3,Declaration
total = n % 98;,0,Assignment
z = value ? len : n;,0,Assignment
if (memset(ret) > 0) { },2,Conditional
const int64_t index = 114;,3,Declaration
"static_assert(sizeof(char) == 34, ""size mismatch"");",14,Exception Handling
bool *result = malloc(sizeof(double) * 101);,13,Memory Allocation
matrix[109] = offset;,6,Array Access
queue[code]--;,9,Increment/Decrement
len = new char();,13,Memory Allocation
try { } catch (const std::bad_alloc &index) { } catch (...) { },14,Exception Handling
x--;,9,Increment/Decrement
index = offset ^ x;,10,Bitwise Operation
"memset(temp, 0, sizeof(uint8_t) * 44);",13,Memory Allocation
if (sum->len == NULL) { },8,Struct Access
int64_t count = i;,3,Declaration
result->key = 127;,8,Struct Access
while (i > 0) { },1,Loop
(*size)++;,9,Increment/Decrement
"float i = 0, total = 121;",3,Declaration
buf[size] += 91;,6,Array Access
count = (err <= z) ? 1 : 0;,11,Logical Expression
count = err;,0,Assignment
i = len + 85;,0,Assignment
if ((result != 118) && (index < 115)) { },2,Conditional
++code;,9,Increment/Decrement
"fclose(&count, 50);",4,Function Call
assert(k == ret);,14,Exception Handling
count ^= offset;,10,Bitwise Operation
for (int err = 1; y < 28; k *= 2) { },1,Loop
size_t *i = malloc(sizeof(long));,13,Memory Allocation
for (int ret = 1; result < 81; k *= 2) { },1,Loop
if ((double) j != 25) { },12,Cast Expression
for (ret = 0; total < count; offset++) { },1,Loop
(count--);,9,Increment/Decrement
if (result == 37) { },2,Conditional
vals[92] = memcpy(temp);,6,Array Access
ret <<= 92;,9,Increment/Decrement
"throw std::bad_alloc(""index"");",14,Exception Handling
if (result.right > 24) { },8,Struct Access
n = k ^ 93;,10,Bitwise Operation
return (len == result) ? 1 : 0;,5,Return
for (z = 0; sum < sum; offset += 16) { },1,Loop
offset = (result | 72) << 7;,10,Bitwise Operation
*x = 22;,7,Pointer Operation
for (; x < 49;) { },1,Loop
vals[x - 1] = 89;,6,Array Access
strlen();,4,Function Call
const float value = i + 19;,3,Declaration
if (!temp) { },2,Conditional
double k[86][96];,3,Declaration
result.next--;,9,Increment/Decrement
size = n ^ 39;,10,Bitwise Operation
i = 74;,0,Assignment
(*temp)++;,7,Pointer Operation
return !index;,5,Return
len = static_cast<double>(j);,12,Cast Expression
count = 73 * 122;,0,Assignment
if (!(result && sum)) { },11,Logical Expression
return z / 33;,5,Return
"memcpy(code, y, 41);",4,Function Call
return result + 71;,5,Return
code = *index + *j;,7,Pointer Operation
if (z > 73 && offset < 61) { },2,Conditional
if (z) { },2,Conditional
for (int x = 0; z < 61; result++) table[flag] = 0;,6,Array Access
int64_t n = (size_t) 58;,3,Declaration
const size_t k = (bool) offset;,12,Cast Expression
n = z ^ j;,10,Bitwise Operation
float value = sqrt(x);,3,Declaration
if (value == value && size != 124) { },2,Conditional
code->key = fclose(size);,8,Struct Access
if (size != NULL) { },2,Conditional
index->flags += 97;,8,Struct Access
(*k)++;,7,Pointer Operation
i = rand(n) - len;,0,Assignment
for (int ret = 0; j < 82; index++) { },1,Loop
return value > 0 && y < 29;,5,Return
count = x ? z : n;,0,Assignment
z = (size_t) n * 108;,12,Cast Expression
k.left++;,8,Struct Access
++(*j);,9,Increment/Decrement
ret = sizeof(int64_t);,0,Assignment
z |= 27;,10,Bitwise Operation
code = (flag >> 66) & 63;,10,Bitwise Operation
uint8_t code[83][101];,3,Declaration
uint8_t *x = new uint32_t();,13,Memory Allocation
while (n > 0) { },1,Loop
z->left++;,8,Struct Access
size &= size;,10,Bitwise Operation
temp = (uint32_t) (z + code);,12,Cast Expression
++size;,9,Increment/Decrement
"if (err < 0) throw std::invalid_argument(""temp"");",14,Exception Handling
if (*sum != NULL) { },7,Pointer Operation
bool err = i || !code;,11,Logical Expression
while (total < 44) { },1,Loop
temp = stack[0];,6,Array Access
double value = (long) log(flag);,12,Cast Expression
"fclose(size, temp);",4,Function Call
if ((x >= 21) && (total >= 60)) { },2,Conditional
int64_t *k = malloc(sizeof(uint32_t) * 72);,13,Memory Allocation
offset.tail--;,8,Struct Access
return 0;,5,Return
sqrt();,4,Function Call
catch (std::out_of_range &y) { },14,Exception Handling
err = *((bool *) total);,7,Pointer Operation
k = 0;,0,Assignment
while (!i) { },1,Loop
offset.len = count.left;,8,Struct Access
queue[count]++;,9,Increment/Decrement
err = z + y + 20;,0,Assignment
return (double) flag;,12,Cast Expression
result = arr[0];,6,Array Access
return sum >= 0;,5,Return
total.tail = i.val;,8,Struct Access
scanf(NULL);,4,Function Call
index = ret - 63;,0,Assignment
return 50;,5,Return
arr[i]++;,6,Array Access
result = (result | 127) << 96;,10,Bitwise Operation
memcpy();,4,Function Call
y.next = flag.val + 77;,8,Struct Access
struct node value;,3,Declaration
ret->head = size->prev;,8,Struct Access
free(count);,13,Memory Allocation
ret = ~ret;,10,Bitwise Operation
assert(value <= 35);,4,Function Call
int *k = NULL;,7,Pointer Operation
int64_t y = err + 61;,3,Declaration
while (flag <= 115 && err > 0) { },1,Loop
j = *sum + *y;,7,Pointer Operation
vals[i] += 108;,6,Array Access
"static_assert(sizeof(float) == 89, ""size mismatch"");",14,Exception Handling
uint8_t n[7][90];,3,Declaration
const double sum = 108;,3,Declaration
assert(value != NULL);,14,Exception Handling
do { } while (total);,1,Loop
"abs(z, &result);",4,Function Call
flag.right = temp;,8,Struct Access
flag->key = scanf(x);,8,Struct Access
if (*n != NULL) { },7,Pointer Operation
queue[50] = result;,6,Array Access
temp = sizeof(double);,0,Assignment
value = count.val;,8,Struct Access
char offset = buf[temp];,6,Array Access
sum = len->val + 85;,8,Struct Access
"int64_t y, len;",3,Declaration
"strlen(code, sum, 124);",4,Function Call
j->data = z->tail;,8,Struct Access
x &= 5;,10,Bitwise Operation
if (j == sum) { },2,Conditional
k |= 21;,10,Bitwise Operation
j = index ^ 88;,10,Bitwise Operation
while (len) { },1,Loop
value = dynamic_cast<char *>(x);,12,Cast Expression
j = (void *) len;,12,Cast Expression
n = index;,0,Assignment
delete flag;,13,Memory Allocation
int64_t *j = reinterpret_cast<double *>(flag);,12,Cast Expression
assert(code != 104);,14,Exception Handling
if (n == 87) { },2,Conditional
do { } while (count < 96);,1,Loop
"len = calloc(63, sizeof(size_t));",13,Memory Allocation
data[len]--;,6,Array Access
volatile long n;,3,Declaration
z.key = atoi(offset);,8,Struct Access
result = const_cast<char *>(n);,12,Cast Expression
n >>= 1;,9,Increment/Decrement
if (z || err) { },11,Logical Expression
uint8_t total[100][113];,3,Declaration
sum.left = i.right;,8,Struct Access
double *flag = NULL;,7,Pointer Operation
index = count - len;,0,Assignment
"float *j = (int64_t *) realloc(k, 44);",13,Memory Allocation
matrix[33] = log(result);,6,Array Access
ret = ret * x;,0,Assignment
"if (len > 68) throw std::runtime_error(""overflow"");",14,Exception Handling
offset = (value >= index) ? 1 : 0;,11,Logical Expression
if (memset(i) > 0) { },2,Conditional
*(count + 49) = y;,7,Pointer Operation
*size = len;,7,Pointer Operation
y &= 104;,10,Bitwise Operation
*i = fclose(value);,7,Pointer Operation
value = ~index;,10,Bitwise Operation
while (z == 33 && result > 0) { },1,Loop
return total == NULL;,5,Return
if (count == &x) { },7,Pointer Operation
tree_destroy(err);,4,Function Call
total = new int64_t[116];,13,Memory Allocation
ret = index & n;,10,Bitwise Operation
static long x = 30;,3,Declaration
catch (std::out_of_range &z) { },14,Exception Handling
if (!z || !n) { },11,Logical Expression
if (*value == 97) { },7,Pointer Operation
bool size = !z && !temp;,11,Logical Expression
"scanf(count, j, 79);",4,Function Call
offset = nums[77];,6,Array Access
auto z = log(code);,3,Declaration
result = malloc(sizeof(size_t));,13,Memory Allocation
while ((x = exp(z)) > 0) { },1,Loop
"scanf(""%d"", &size);",4,Function Call
extern long offset;,3,Declaration
for (int code = 0; total < n; ++result) { },1,Loop
"scanf(""%d"", &flag);",4,Function Call
switch (err) { },2,Conditional
long j = err + 40;,3,Declaration
if ((size != 110) || (size >= 1) || len) { },11,Logical Expression
size = malloc(40);,13,Memory Allocation
y ^= 46;,10,Bitwise Operation
if (value && len) { },11,Logical Expression
free(code);,13,Memory Allocation
fclose(scanf(flag));,4,Function Call
z = sizeof(y);,0,Assignment
if (memset(count) > 0) { },2,Conditional
if (!(err || j)) { },11,Logical Expression
int64_t value = atoi(flag);,3,Declaration
if (memcpy(x) && count <= 1) { },11,Logical Expression
const int64_t k = x + 29;,3,Declaration
return !z;,5,Return
struct point result;,3,Declaration
if (size == result && temp != 11) { },2,Conditional
if (y.head < 23) { },8,Struct Access
do { } while (y == 71);,1,Loop
err = arr[n - 1];,6,Array Access
double *sum = (int *) n;,7,Pointer Operation
count = (n > 41) && (x != 79);,11,Logical Expression
fopen(printf(z));,4,Function Call
size = flag ? len : size;,0,Assignment
y = dynamic_cast<char *>(y);,12,Cast Expression
result = len & ~68;,10,Bitwise Operation
try { } catch (const std::out_of_range &err) { } catch (...) { },14,Exception Handling
if (k & value) { },10,Bitwise Operation
"log(&result, 88);",4,Function Call
"if (i < 0) throw std::bad_alloc(""z"");",14,Exception Handling
if (value <= 124) { },2,Conditional
index = &len;,7,Pointer Operation
size = sum >> 106;,10,Bitwise Operation
"exp(sum, fopen(code));",4,Function Call
code = flag + 107;,0,Assignment
bool result[106][2];,3,Declaration
while (!n) { },1,Loop
do { } while (temp);,1,Loop
return k / 24;,5,Return
if (sum == 29 || i == 93) { },2,Conditional
"k = log(result, 111);",0,Assignment
int offset = index;,3,Declaration
"return strlen(temp, 100);",5,Return
float sum = len;,3,Declaration
"return strlen(temp, 78);",5,Return
for (int index = 0; value < 57; i++) result++;,9,Increment/Decrement
return i > 0 && ret < 68;,5,Return
n = z | count;,10,Bitwise Operation
throw;,14,Exception Handling
if (size < 29) { },2,Conditional
list[x] = arr[ret - 1];,6,Array Access
k >>= 1;,9,Increment/Decrement
while (ret < 63) { },1,Loop
if (temp != 0) { },2,Conditional
count >>= 39;,9,Increment/Decrement
if ((j & 83) != 0) { },10,Bitwise Operation
volatile int code;,3,Declaration
total->flags = 13;,8,Struct Access
return (ret == temp) ? 1 : 0;,5,Return
count = (int64_t *) ret;,12,Cast Expression
*offset = 21;,7,Pointer Operation
extern size_t index;,3,Declaration
uint32_t ret[124] = {0};,3,Declaration
*len += 118;,7,Pointer Operation
index = malloc(83);,13,Memory Allocation
index.flags = i.left + 83;,8,Struct Access
err = log(z);,0,Assignment
assert(offset > 51);,14,Exception Handling
ret->prev = 24;,8,Struct Access
if (n > 87 && sum < 23) { },2,Conditional
int64_t index = !count;,11,Logical Expression
return ret + count;,5,Return
return count > 0 && result < 97;,5,Return
x = offset >> 25;,10,Bitwise Operation
while (value != 95) { },1,Loop
i = y->len;,8,Struct Access
delete result;,13,Memory Allocation
total = atoi(z) - offset;,0,Assignment
if (*k == 50) { },7,Pointer Operation
queue[68] = memcpy(code);,6,Array Access
int j = (double) z;,12,Cast Expression
fopen(flag);,4,Function Call
float *k = NULL;,7,Pointer Operation
rand();,4,Function Call
char *ret = (float *) total;,12,Cast Expression
return (j == index) ? 1 : 0;,5,Return
temp = *k;,7,Pointer Operation
if (!len) throw std::bad_alloc();,14,Exception Handling
j = ~code;,10,Bitwise Operation
"result = log(n, 66);",0,Assignment
while (sum != NULL) { },1,Loop
