n_instrs,n_assigns,n_binops,n_calls,n_labels,n_literals,n_temps,has_loop,call_density,assign_ratio,avg_use_count,depth_score,label_constant_fold,label_dead_code,label_loop_unroll,label_inline
27,13,14,0,3,2,5,1,0.0,0.4815,1.374,6,1,1,1,0
17,9,8,0,0,9,4,0,0.0,0.5294,2.473,0,1,0,0,1
13,4,9,0,1,3,3,1,0.0,0.3077,3.029,2,1,0,1,0
3,0,3,1,0,0,2,0,0.3333,0.0,2.854,1,0,0,0,1
15,12,3,0,0,10,4,0,0.0,0.8,2.996,0,1,0,1,0
16,14,2,0,0,2,7,0,0.0,0.875,1.918,0,1,0,0,0
22,6,16,0,2,3,5,1,0.0,0.2727,1.529,4,0,1,1,0
16,3,10,3,0,0,4,0,0.1875,0.1875,1.585,3,0,1,0,1
15,3,12,1,1,0,5,1,0.0667,0.2,1.968,3,0,0,1,1
5,2,3,1,3,1,1,1,0.2,0.4,0.879,7,1,0,1,1
42,14,28,1,0,9,9,0,0.0238,0.3333,1.752,1,1,1,0,0
21,7,14,1,0,0,5,0,0.0476,0.3333,2.245,1,0,0,0,0
28,10,18,0,1,2,2,1,0.0,0.3571,3.459,2,0,0,1,0
17,5,12,0,0,2,3,0,0.0,0.2941,1.874,0,0,0,0,0
13,8,2,3,0,1,5,0,0.2308,0.6154,1.752,3,1,1,0,1
17,6,11,2,0,0,4,0,0.1176,0.3529,3.334,2,0,0,0,1
18,6,12,1,2,3,4,1,0.0556,0.3333,1.799,5,1,1,1,1
23,15,8,0,0,3,2,0,0.0,0.6522,1.614,0,1,1,0,0
14,7,3,4,0,0,5,0,0.2857,0.5,2.935,4,0,0,0,1
7,7,0,0,0,6,0,0,0.0,1.0,1.474,0,1,1,0,0
33,16,17,0,4,4,12,1,0.0,0.4848,0.567,8,1,1,0,0
3,2,1,0,0,1,0,0,0.0,0.6667,2.593,0,1,0,0,0
19,17,2,0,0,14,0,0,0.0,0.8947,2.96,0,1,0,0,1
12,12,0,0,0,10,2,0,0.0,1.0,0.621,0,1,1,0,0
24,4,20,0,1,1,2,1,0.0,0.1667,1.832,2,0,0,1,0
7,5,2,0,0,3,3,0,0.0,0.7143,3.231,0,1,0,0,0
19,5,14,1,4,3,3,1,0.0526,0.2632,2.322,9,0,0,0,1
19,4,15,1,3,1,7,1,0.0526,0.2105,2.257,7,0,0,1,1
8,8,0,0,0,0,5,0,0.0,1.0,1.353,0,0,1,0,0
57,23,34,1,3,8,12,1,0.0175,0.4035,1.397,7,1,1,1,0
8,8,0,0,0,7,2,0,0.0,1.0,2.701,0,1,0,0,0
31,13,18,5,1,9,16,1,0.1613,0.4194,1.072,7,1,1,0,0
23,23,0,0,0,5,3,0,0.0,1.0,2.341,0,1,0,0,0
14,5,9,0,0,0,6,0,0.0,0.3571,2.884,0,0,0,0,0
26,12,14,1,3,2,6,1,0.0385,0.4615,0.81,7,1,1,1,0
8,3,5,1,2,1,4,1,0.125,0.375,0.819,5,1,1,1,1
53,23,30,0,2,2,17,1,0.0,0.434,0.868,4,1,1,0,0
40,8,32,5,4,5,17,1,0.125,0.2,2.662,13,0,0,0,0
6,3,3,1,0,3,0,0,0.1667,0.5,3.27,1,1,0,0,1
51,5,46,2,5,5,10,1,0.0392,0.098,1.73,12,0,1,0,0
6,1,1,4,0,0,3,0,0.6667,0.1667,1.702,4,0,0,0,1
20,13,7,0,0,2,3,0,0.0,0.65,2.433,0,1,0,0,0
21,7,14,2,4,2,3,1,0.0952,0.3333,1.203,10,1,1,0,0
4,4,0,0,0,2,2,0,0.0,1.0,2.126,0,1,0,0,0
63,16,47,3,0,6,10,0,0.0476,0.254,2.567,3,0,0,0,0
39,5,34,1,2,1,5,1,0.0256,0.1282,0.849,5,0,1,0,0
12,2,10,2,5,2,8,1,0.1667,0.1667,2.114,12,0,0,0,1
51,22,29,5,1,3,19,1,0.098,0.4314,2.025,7,1,0,0,0
14,12,0,2,0,1,5,0,0.1429,0.8571,1.777,2,1,1,0,1
39,16,23,2,5,5,9,1,0.0513,0.4103,3.036,12,1,0,0,0
5,1,4,1,0,1,2,0,0.2,0.2,0.766,1,0,0,0,1
10,4,6,1,6,0,9,1,0.1,0.4,2.218,13,0,0,0,1
2,0,2,0,0,0,0,0,0.0,0.0,2.32,0,0,0,0,0
8,5,3,0,0,0,7,0,0.0,0.625,2.298,0,0,0,0,0
38,19,19,2,4,2,5,1,0.0526,0.5,1.491,10,1,1,0,0
8,7,1,0,0,5,3,0,0.0,0.875,1.808,0,1,0,0,0
17,5,12,1,0,0,2,0,0.0588,0.2941,1.836,1,0,0,0,1
9,8,1,0,0,8,3,0,0.0,0.8889,2.951,0,1,0,0,0
16,7,9,2,0,3,6,0,0.125,0.4375,2.051,2,1,0,0,1
19,4,15,1,2,1,5,1,0.0526,0.2105,1.968,5,0,0,1,1
79,35,44,2,1,2,18,1,0.0253,0.443,2.223,4,1,0,0,0
3,0,3,1,0,0,3,0,0.3333,0.0,2.74,1,0,0,0,1
26,7,19,0,4,1,7,1,0.0,0.2692,2.414,8,0,0,0,0
19,17,2,0,0,17,0,0,0.0,0.8947,1.518,0,1,1,0,0
23,6,17,1,2,3,9,1,0.0435,0.2609,1.558,5,0,1,1,0
11,5,4,2,0,2,1,0,0.1818,0.4545,1.583,2,1,1,0,1
8,1,5,2,0,1,4,0,0.25,0.125,1.994,2,0,0,0,1
29,13,16,1,3,0,1,1,0.0345,0.4483,1.408,7,0,1,1,0
6,2,4,0,0,1,2,0,0.0,0.3333,2.89,0,1,0,1,0
8,2,6,1,0,2,0,0,0.125,0.25,2.036,1,0,0,0,1
17,8,9,0,0,4,6,0,0.0,0.4706,3.134,0,1,0,0,0
5,1,1,3,0,1,1,0,0.6,0.2,3.471,3,0,0,0,1
8,3,5,1,0,3,2,0,0.125,0.375,2.207,1,1,0,0,1
8,8,0,0,0,1,0,0,0.0,1.0,1.732,0,1,1,0,0
30,8,22,1,1,0,6,1,0.0333,0.2667,1.405,3,0,1,1,0
48,10,38,4,0,6,13,0,0.0833,0.2083,1.269,4,0,1,0,0
30,11,19,1,6,1,5,1,0.0333,0.3667,3.186,13,1,0,0,0
24,8,16,0,0,2,7,0,0.0,0.3333,1.127,0,0,1,0,0
16,8,8,0,0,4,6,0,0.0,0.5,0.704,0,1,1,1,0
12,5,7,1,0,2,8,0,0.0833,0.4167,3.039,1,1,0,0,1
20,4,16,1,0,2,5,0,0.05,0.2,2.834,1,0,0,0,0
1,1,0,1,0,0,2,0,1.0,1.0,1.77,1,0,0,0,1
23,7,16,1,1,1,3,1,0.0435,0.3043,2.271,3,1,0,1,0
17,12,5,0,0,10,1,0,0.0,0.7059,2.487,0,1,0,0,0
28,6,22,0,3,2,6,1,0.0,0.2143,0.768,6,0,1,1,0
14,5,9,0,0,0,6,0,0.0,0.3571,2.714,0,0,0,0,1
2,1,1,0,0,1,3,0,0.0,0.5,1.498,0,0,0,0,0
30,12,18,1,2,3,4,1,0.0333,0.4,0.507,5,1,1,1,0
5,1,4,0,0,1,0,0,0.0,0.2,3.156,0,0,0,0,0
25,8,17,0,0,0,6,0,0.0,0.32,3.456,0,0,0,0,0
11,4,7,1,2,0,2,1,0.0909,0.3636,0.649,5,0,1,1,1
16,10,2,4,0,1,4,0,0.25,0.625,3.054,4,1,0,0,1
19,4,15,2,0,2,3,0,0.1053,0.2105,3.201,2,0,0,0,1
22,5,17,2,0,2,4,0,0.0909,0.2273,2.195,2,0,0,0,0
15,12,3,0,0,11,1,0,0.0,0.8,3.486,0,1,0,0,0
5,4,1,1,0,2,3,0,0.2,0.8,2.607,1,1,0,0,1
22,4,18,0,0,1,3,0,0.0,0.1818,2.176,0,0,0,0,0
18,1,12,5,0,0,3,0,0.2778,0.0556,1.78,5,0,0,0,1
44,9,35,2,4,1,11,1,0.0455,0.2045,1.57,10,0,1,0,0
7,7,0,0,0,4,3,0,0.0,1.0,1.442,0,1,0,0,0
17,11,3,3,0,1,2,0,0.1765,0.6471,0.501,3,1,1,0,1
6,1,5,0,0,0,1,0,0.0,0.1667,0.818,0,0,0,0,1
15,13,2,0,0,0,6,0,0.0,0.8667,0.73,0,1,1,0,0
11,2,9,0,6,2,5,1,0.0,0.1818,1.037,12,0,0,0,0
17,11,6,0,0,2,3,0,0.0,0.6471,3.343,0,1,0,0,0
1,0,1,0,0,0,3,0,0.0,0.0,0.912,0,0,0,0,0
1,0,1,1,0,0,1,0,1.0,0.0,0.949,1,0,0,0,1
6,5,1,0,0,5,2,0,0.0,0.8333,3.028,0,1,0,0,0
1,0,1,1,0,0,1,0,1.0,0.0,0.697,1,0,0,0,1
10,4,6,0,0,2,2,0,0.0,0.4,3.107,0,1,0,0,0
8,4,4,0,0,0,3,0,0.0,0.5,3.336,0,0,0,0,0
32,11,21,2,5,2,12,1,0.0625,0.3438,2.198,12,1,0,0,0
4,2,2,0,0,0,3,0,0.0,0.5,0.814,0,0,0,0,0
11,5,6,0,0,2,2,0,0.0,0.4545,1.535,0,1,1,0,0
16,8,8,1,0,3,4,0,0.0625,0.5,1.444,1,1,1,0,1
13,6,5,2,0,1,1,0,0.1538,0.4615,3.394,2,1,0,0,1
18,3,15,0,5,1,11,1,0.0,0.1667,0.973,10,0,1,0,0
16,1,11,4,0,0,4,0,0.25,0.0625,2.971,4,0,0,1,1
19,13,0,6,0,2,4,0,0.3158,0.6842,3.168,6,1,0,0,1
11,10,1,0,0,8,1,0,0.0,0.9091,1.405,0,1,1,0,0
21,2,19,0,0,0,3,0,0.0,0.0952,3.086,0,0,0,0,0
39,17,22,1,4,5,11,1,0.0256,0.4359,0.516,9,1,1,0,0
13,9,1,3,0,2,4,0,0.2308,0.6923,1.805,3,1,1,0,1
40,6,34,2,6,4,6,1,0.05,0.15,3.274,14,1,0,0,0
7,2,0,5,0,1,2,0,0.7143,0.2857,1.287,5,0,0,0,1
15,8,7,0,0,3,8,0,0.0,0.5333,1.606,0,1,1,0,0
24,8,16,0,0,3,2,0,0.0,0.3333,0.631,0,1,1,0,0
20,3,13,4,0,0,2,0,0.2,0.15,1.927,4,0,0,0,1
11,3,8,0,0,0,7,0,0.0,0.2727,3.436,0,0,1,0,0
44,12,32,4,4,4,11,1,0.0909,0.2727,0.715,12,0,1,0,0
21,9,12,0,0,3,3,0,0.0,0.4286,2.293,0,1,0,0,0
5,5,0,0,0,4,1,0,0.0,1.0,3.186,0,1,0,0,0
6,4,2,0,0,0,6,0,0.0,0.6667,3.451,0,0,0,0,0
9,6,3,0,0,1,8,0,0.0,0.6667,2.801,0,0,0,1,1
14,6,8,0,1,0,1,1,0.0,0.4286,2.18,2,0,0,1,0
20,3,17,1,0,1,6,0,0.05,0.15,2.195,1,0,0,0,0
14,4,10,0,0,2,7,0,0.0,0.2857,1.248,0,0,1,0,0
12,3,9,2,0,1,4,0,0.1667,0.25,1.292,2,0,1,0,1
49,21,28,1,1,8,5,1,0.0204,0.4286,3.073,3,1,0,0,0
8,4,4,1,3,2,1,1,0.125,0.5,2.222,7,1,0,1,1
20,1,13,6,0,1,4,0,0.3,0.05,2.073,6,1,0,1,1
1,1,0,1,0,0,2,0,1.0,1.0,2.185,1,0,0,0,1
8,4,4,0,0,3,0,0,0.0,0.5,3.187,0,1,1,0,0
30,3,27,2,5,3,10,1,0.0667,0.1,3.437,12,0,0,0,0
14,8,6,0,0,8,0,0,0.0,0.5714,3.49,0,1,0,0,0
18,2,16,0,3,1,2,1,0.0,0.1111,0.686,6,0,0,1,0
11,4,7,0,0,2,6,0,0.0,0.3636,3.231,0,1,0,0,1
9,4,5,0,0,1,5,0,0.0,0.4444,2.08,0,1,0,0,0
48,6,42,3,4,6,11,1,0.0625,0.125,0.913,11,0,1,0,0
22,22,0,0,0,8,3,0,0.0,1.0,1.536,0,1,1,0,0
9,9,0,0,0,9,0,0,0.0,1.0,0.968,0,1,1,0,0
14,11,3,0,0,8,1,0,0.0,0.7857,0.794,0,1,1,0,0
18,17,1,0,0,17,3,0,0.0,0.9444,1.815,0,1,0,0,0
9,2,7,0,0,0,3,0,0.0,0.2222,3.392,0,0,0,0,0
13,6,7,0,0,0,6,0,0.0,0.4615,1.458,0,1,1,0,0
6,0,6,0,0,0,0,0,0.0,0.0,2.537,0,0,0,0,0
14,4,10,0,0,2,5,0,0.0,0.2857,2.264,0,0,0,0,0
13,8,5,0,0,7,0,0,0.0,0.6154,2.137,0,1,0,0,0
20,2,18,2,3,2,5,1,0.1,0.1,3.317,8,0,0,1,1
6,1,5,0,0,0,2,0,0.0,0.1667,2.324,0,0,0,0,0
20,14,2,4,0,0,1,0,0.2,0.7,2.137,4,0,0,0,1
37,17,20,2,6,2,10,1,0.0541,0.4595,3.163,14,1,0,0,0
47,16,31,2,3,2,10,1,0.0426,0.3404,1.157,8,1,1,0,0
19,5,14,0,0,5,4,0,0.0,0.2632,0.757,0,0,1,1,0
5,2,3,0,0,0,0,0,0.0,0.4,2.622,0,0,0,0,0
4,4,0,0,0,4,2,0,0.0,1.0,1.019,0,1,1,0,0
6,2,0,4,0,1,3,0,0.6667,0.3333,2.468,4,1,0,0,1
11,9,2,0,0,1,7,0,0.0,0.8182,2.239,0,1,0,0,0
9,3,0,6,0,1,2,0,0.6667,0.3333,1.463,6,0,1,0,0
7,1,1,5,0,1,5,0,0.7143,0.1429,1.453,5,0,0,0,0
8,4,4,0,0,2,6,0,0.0,0.5,1.995,0,1,0,0,0
9,5,4,0,0,3,4,0,0.0,0.5556,1.157,0,1,1,0,0
11,2,9,1,0,0,2,0,0.0909,0.1818,2.913,1,0,0,0,1
25,8,17,1,2,3,3,1,0.04,0.32,3.276,5,1,0,1,0
15,6,9,0,0,1,5,0,0.0,0.4,3.494,0,1,0,0,0
66,7,59,0,1,2,5,1,0.0,0.1061,2.573,2,0,0,0,0
8,3,5,0,0,0,6,0,0.0,0.375,2.39,0,0,0,0,0
14,14,0,0,0,12,1,0,0.0,1.0,1.765,0,0,1,0,0
1,1,0,0,0,1,3,0,0.0,1.0,2.76,0,1,0,0,0
40,15,25,0,4,2,3,1,0.0,0.375,1.8,8,1,0,0,0
18,7,11,1,4,3,9,1,0.0556,0.3889,2.83,9,1,0,0,0
28,3,25,1,1,0,2,1,0.0357,0.1071,3.233,3,0,0,1,0
13,5,5,3,0,2,4,0,0.2308,0.3846,2.068,3,1,0,0,1
2,2,0,1,0,2,2,0,0.5,1.0,1.162,1,1,0,0,1
6,2,4,0,3,2,2,1,0.0,0.3333,1.317,6,1,0,1,0
35,16,19,2,2,1,3,1,0.0571,0.4571,1.688,6,1,1,0,0
21,8,13,2,3,0,8,1,0.0952,0.381,0.84,8,0,1,1,0
27,13,14,1,2,3,4,1,0.037,0.4815,1.358,5,1,1,1,0
36,2,34,1,2,0,10,1,0.0278,0.0556,2.038,5,0,0,0,0
19,8,11,1,0,2,4,0,0.0526,0.4211,3.172,1,1,0,0,1
21,6,15,2,2,3,8,1,0.0952,0.2857,1.099,6,0,1,1,0
10,3,7,1,0,1,8,0,0.1,0.3,0.763,1,0,1,0,1
32,9,23,0,5,7,20,1,0.0,0.2812,2.695,10,0,0,0,0
24,3,21,1,4,2,6,1,0.0417,0.125,3.481,9,0,0,0,0
4,0,4,0,0,0,2,0,0.0,0.0,3.224,0,0,0,0,0
7,0,7,1,0,0,3,0,0.1429,0.0,2.79,1,0,0,0,1
11,4,7,1,0,0,4,0,0.0909,0.3636,0.514,1,0,1,0,1
55,15,40,4,0,10,19,0,0.0727,0.2727,2.708,4,0,0,0,0
19,2,17,1,5,2,8,1,0.0526,0.1053,3.319,11,0,0,0,1
66,19,47,1,2,5,8,1,0.0152,0.2879,1.084,5,0,1,0,0
18,3,15,1,0,1,5,0,0.0556,0.1667,1.405,1,0,1,0,1
10,2,8,0,0,1,5,0,0.0,0.2,2.591,0,0,0,0,0
6,5,1,0,0,1,5,0,0.0,0.8333,2.739,0,1,0,0,0
23,2,21,0,1,1,5,1,0.0,0.087,1.647,2,0,0,1,0
19,3,16,2,0,0,4,0,0.1053,0.1579,1.744,2,0,1,0,1
2,0,2,0,0,0,0,0,0.0,0.0,1.546,0,0,0,0,0
17,4,13,0,0,4,3,0,0.0,0.2353,2.267,0,0,0,0,0
20,9,11,0,0,3,4,0,0.0,0.45,2.895,0,1,0,0,0
30,12,18,0,5,2,12,1,0.0,0.4,2.15,10,1,0,0,0
8,2,6,0,2,2,1,1,0.0,0.25,1.625,4,0,0,1,0
4,1,3,0,0,0,0,0,0.0,0.25,3.214,0,0,0,0,0
14,8,6,0,0,8,0,0,0.0,0.5714,1.726,0,1,1,0,0
78,30,48,3,1,9,13,1,0.0385,0.3846,2.383,5,1,0,0,0
10,3,7,1,1,2,4,1,0.1,0.3,1.48,3,0,1,1,1
16,14,2,0,0,11,3,0,0.0,0.875,2.758,0,1,0,0,0
7,7,0,1,0,2,3,0,0.1429,1.0,1.979,1,1,0,0,1
4,0,4,1,0,0,2,0,0.25,0.0,0.81,1,0,0,0,1
10,2,8,0,2,1,7,1,0.0,0.2,1.179,4,0,0,1,0
25,11,14,0,0,3,2,0,0.0,0.44,2.233,0,1,0,0,0
39,9,30,4,2,1,11,1,0.1026,0.2308,1.623,8,0,1,0,0
75,6,69,0,5,3,6,1,0.0,0.08,2.726,10,0,0,0,0
16,7,7,2,0,1,2,0,0.125,0.4375,3.405,2,1,0,0,1
11,5,6,0,2,1,3,1,0.0,0.4545,2.976,4,1,0,1,1
60,22,38,3,1,10,16,1,0.05,0.3667,0.899,5,1,1,0,0
65,26,39,1,5,7,16,1,0.0154,0.4,3.142,11,1,0,0,0
14,4,10,2,0,2,3,0,0.1429,0.2857,1.286,2,0,1,0,1
11,4,4,3,0,0,4,0,0.2727,0.3636,2.453,3,0,0,0,1
9,2,7,1,0,1,5,0,0.1111,0.2222,1.404,1,0,0,0,1
6,3,3,1,0,3,1,0,0.1667,0.5,3.429,1,1,0,0,1
8,3,5,0,3,1,4,1,0.0,0.375,2.804,6,1,0,1,0
37,3,34,0,5,1,6,1,0.0,0.0811,2.165,10,0,0,0,0
17,4,13,1,3,2,2,1,0.0588,0.2353,0.927,7,0,1,1,1
17,8,9,1,0,3,3,0,0.0588,0.4706,2.922,1,1,0,0,1
24,3,21,1,4,0,4,1,0.0417,0.125,1.71,9,1,1,0,0
11,4,7,0,2,1,5,1,0.0,0.3636,1.147,4,1,1,1,0
22,5,17,1,3,0,3,1,0.0455,0.2273,1.116,7,0,1,1,0
18,5,13,0,0,2,2,0,0.0,0.2778,2.217,0,0,0,0,0
10,5,5,2,0,2,3,0,0.2,0.5,2.884,2,1,0,0,1
25,2,23,2,0,0,3,0,0.08,0.08,2.39,2,0,0,0,0
6,1,5,1,0,0,1,0,0.1667,0.1667,1.683,1,0,0,0,1
7,2,0,5,0,1,1,0,0.7143,0.2857,2.083,5,0,0,0,1
30,9,21,0,3,1,11,1,0.0,0.3,2.642,6,0,0,1,0
31,10,21,0,5,3,5,1,0.0,0.3226,2.898,10,1,0,0,0
14,7,7,0,6,0,12,1,0.0,0.5,0.59,12,1,1,0,0
57,17,40,2,1,8,5,1,0.0351,0.2982,2.481,4,0,0,0,0
14,8,6,0,0,8,0,0,0.0,0.5714,2.328,0,1,0,0,0
16,7,9,1,3,0,1,1,0.0625,0.4375,2.821,7,0,0,1,1
6,5,1,0,0,3,4,0,0.0,0.8333,2.103,0,1,0,0,0
15,3,12,1,3,1,5,1,0.0667,0.2,1.82,7,0,0,1,1
19,2,17,2,5,2,7,1,0.1053,0.1053,2.124,12,0,0,0,1
11,4,7,1,6,0,11,1,0.0909,0.3636,1.778,13,0,1,0,1
55,10,45,5,3,6,11,1,0.0909,0.1818,1.246,11,0,1,0,0
7,7,0,1,0,5,2,0,0.1429,1.0,1.997,1,1,0,0,1
2,2,0,1,0,2,0,0,0.5,1.0,2.355,1,1,0,0,1
16,4,12,0,1,1,2,1,0.0,0.25,2.623,2,0,0,1,0
7,5,2,1,0,0,1,0,0.1429,0.7143,3.143,1,0,0,0,1
6,5,1,0,0,3,1,0,0.0,0.8333,2.395,0,1,0,0,0
20,3,17,2,0,0,3,0,0.1,0.15,0.772,2,0,1,1,1
7,1,1,5,0,1,3,0,0.7143,0.1429,0.81,5,0,0,0,1
28,10,18,1,6,3,9,1,0.0357,0.3571,2.63,13,1,0,0,0
18,7,11,2,0,0,8,0,0.1111,0.3889,1.088,2,0,1,0,1
6,5,1,0,0,0,3,0,0.0,0.8333,1.321,0,0,1,0,0
16,14,2,0,0,7,8,0,0.0,0.875,2.123,0,1,0,0,0
74,35,39,1,0,1,18,0,0.0135,0.473,1.266,1,1,1,0,0
21,7,14,2,3,4,8,1,0.0952,0.3333,1.054,8,1,1,1,0
8,3,5,0,2,1,4,1,0.0,0.375,3.457,4,1,0,1,0
46,11,35,1,2,3,18,1,0.0217,0.2391,1.89,5,0,0,0,0
8,4,2,2,0,0,5,0,0.25,0.5,2.438,2,0,0,0,1
25,11,14,1,2,2,8,1,0.04,0.44,2.368,5,1,0,1,1
22,7,15,1,0,2,4,0,0.0455,0.3182,2.181,1,1,0,1,0
10,5,5,0,0,0,7,0,0.0,0.5,3.466,0,0,0,0,0
71,8,63,0,2,3,19,1,0.0,0.1127,2.643,4,0,0,0,0
20,18,2,0,0,15,2,0,0.0,0.9,1.15,0,1,1,0,0
11,6,5,0,0,4,0,0,0.0,0.5455,0.805,0,1,1,0,0
39,8,31,1,3,1,10,1,0.0256,0.2051,3.247,7,0,0,0,0
5,2,3,1,3,1,6,1,0.2,0.4,1.591,7,1,0,1,1
17,4,13,1,1,1,6,1,0.0588,0.2353,0.505,3,0,1,1,1
23,2,21,0,0,0,3,0,0.0,0.087,1.157,0,0,0,0,0
18,7,11,0,0,3,8,0,0.0,0.3889,2.402,0,1,0,0,0
12,12,0,0,0,12,3,0,0.0,1.0,3.171,0,1,0,1,0
32,14,18,0,6,4,3,1,0.0,0.4375,1.563,12,1,1,0,0
15,4,11,2,3,0,12,1,0.1333,0.2667,3.463,8,0,0,1,1
15,13,2,0,0,10,3,0,0.0,0.8667,3.373,0,1,0,0,0
11,3,8,2,0,1,8,0,0.1818,0.2727,3.344,2,0,0,0,1
73,21,52,2,4,0,9,1,0.0274,0.2877,0.858,10,0,1,0,1
6,4,2,0,0,4,2,0,0.0,0.6667,0.759,0,1,1,0,0
25,9,16,0,0,0,5,0,0.0,0.36,2.674,0,0,0,0,0
15,11,0,4,0,0,1,0,0.2667,0.7333,2.538,4,0,0,0,1
16,5,11,0,5,0,9,1,0.0,0.3125,2.437,10,0,0,0,0
8,2,0,6,0,2,1,0,0.75,0.25,2.671,6,0,0,0,1
23,10,13,2,6,1,7,1,0.087,0.4348,0.69,14,0,1,0,0
28,10,18,1,3,0,2,1,0.0357,0.3571,1.174,7,1,1,1,0
16,16,0,0,0,15,3,0,0.0,1.0,3.391,0,1,0,0,0
7,4,3,0,0,1,7,0,0.0,0.5714,2.739,0,1,0,0,0
5,2,3,1,3,0,6,1,0.2,0.4,2.34,7,1,0,1,1
71,25,46,5,0,10,8,0,0.0704,0.3521,1.453,5,1,1,0,0
58,25,33,5,1,0,13,1,0.0862,0.431,1.45,7,0,1,0,0
60,21,39,0,0,10,17,0,0.0,0.35,3.492,0,1,0,0,0
8,2,6,2,0,0,6,0,0.25,0.25,0.582,2,1,0,0,1
24,4,20,0,0,2,8,0,0.0,0.1667,3.194,0,0,0,0,0
14,4,10,1,0,0,7,0,0.0714,0.2857,2.98,1,0,0,0,1
4,3,1,0,0,3,2,0,0.0,0.75,1.142,0,1,1,0,0
19,19,0,0,0,18,3,0,0.0,1.0,1.398,0,0,1,0,0
10,3,7,0,0,0,5,0,0.0,0.3,1.138,0,0,1,0,0
77,27,50,1,3,10,9,1,0.013,0.3506,0.983,7,1,1,0,0
16,6,10,2,4,1,11,1,0.125,0.375,3.016,10,1,0,0,1
24,11,13,0,2,2,2,1,0.0,0.4583,1.195,4,1,0,1,0
9,3,0,6,0,0,5,0,0.6667,0.3333,0.654,6,0,1,0,1
38,14,24,2,3,8,17,1,0.0526,0.3684,1.561,8,1,1,0,0
15,15,0,0,0,12,3,0,0.0,1.0,0.627,0,1,1,1,0
8,0,8,0,0,0,1,0,0.0,0.0,2.917,0,0,0,0,0
11,5,6,0,1,0,4,1,0.0,0.4545,0.874,2,0,1,1,0
8,2,0,6,0,2,3,0,0.75,0.25,1.587,6,0,0,0,1
24,4,20,0,3,1,9,1,0.0,0.1667,1.422,6,0,1,1,0
61,22,39,0,0,1,5,0,0.0,0.3607,1.247,0,1,1,0,0
6,1,5,0,0,0,3,0,0.0,0.1667,0.56,0,0,0,0,0
43,16,27,4,1,7,20,1,0.093,0.3721,0.754,6,1,1,1,0
14,4,10,0,0,3,3,0,0.0,0.2857,2.914,0,0,0,0,0
8,8,0,0,0,7,1,0,0.0,1.0,3.437,0,1,0,0,0
5,2,1,2,0,2,2,0,0.4,0.4,1.133,2,1,0,0,1
18,6,7,5,0,1,4,0,0.2778,0.3333,0.715,5,1,1,0,1
6,1,5,0,0,1,1,0,0.0,0.1667,0.906,0,0,1,0,0
10,3,7,0,0,0,5,0,0.0,0.3,3.309,0,0,0,0,0
14,6,4,4,0,0,3,0,0.2857,0.4286,2.884,4,0,0,0,1
25,18,7,0,0,3,5,0,0.0,0.72,1.528,0,1,1,0,0
9,5,0,4,0,1,3,0,0.4444,0.5556,1.568,4,1,1,0,1
19,6,13,0,0,6,2,0,0.0,0.3158,3.127,0,1,0,0,0
22,11,11,0,0,4,6,0,0.0,0.5,3.014,0,1,0,0,0
21,4,17,2,0,2,6,0,0.0952,0.1905,2.546,2,0,0,0,0
25,11,14,0,0,3,5,0,0.0,0.44,3.383,0,1,0,0,0
35,10,25,5,4,2,17,1,0.1429,0.2857,1.179,13,0,1,0,0
10,7,3,0,0,0,2,0,0.0,0.7,1.387,0,0,1,0,0
65,16,49,5,5,6,11,1,0.0769,0.2462,1.114,15,0,1,0,0
16,14,2,0,0,7,8,0,0.0,0.875,1.124,0,1,1,0,0
4,4,0,0,0,3,2,0,0.0,1.0,0.635,0,1,1,0,0
5,2,3,1,1,1,4,1,0.2,0.4,2.403,3,1,0,1,1
73,35,38,5,2,8,14,1,0.0685,0.4795,3.036,9,1,0,0,0
13,5,8,0,0,0,6,0,0.0,0.3846,3.324,0,0,0,0,0
17,5,12,1,1,1,1,1,0.0588,0.2941,3.046,3,0,0,1,1
74,6,68,1,5,1,18,1,0.0135,0.0811,2.314,11,0,0,0,0
35,8,27,2,4,3,10,1,0.0571,0.2286,1.935,10,0,0,0,0
16,13,3,0,0,10,4,0,0.0,0.8125,2.696,0,1,0,0,0
25,4,21,2,0,2,7,0,0.08,0.16,2.03,2,0,0,0,0
16,2,14,1,0,1,2,0,0.0625,0.125,2.801,1,0,0,0,1
7,6,1,0,0,4,2,0,0.0,0.8571,1.902,0,1,0,0,0
17,11,1,5,0,2,5,0,0.2941,0.6471,0.952,5,1,1,0,1
23,18,5,0,0,8,8,0,0.0,0.7826,3.033,0,1,0,0,0
19,9,10,0,1,3,6,1,0.0,0.4737,0.906,2,1,0,1,0
5,5,0,0,0,0,0,0,0.0,1.0,1.149,0,0,1,0,0
16,8,2,6,0,2,2,0,0.375,0.5,0.61,6,1,1,0,1
49,10,39,1,5,2,16,1,0.0204,0.2041,3.306,11,0,0,0,0
19,17,2,0,0,3,7,0,0.0,0.8947,0.587,0,1,1,0,0
19,3,16,1,6,2,7,1,0.0526,0.1579,1.211,13,0,1,0,1
42,12,30,2,3,1,19,1,0.0476,0.2857,3.277,8,0,0,0,0
14,14,0,0,0,14,3,0,0.0,1.0,2.685,0,1,0,0,0
64,31,33,2,2,0,11,1,0.0312,0.4844,1.588,6,0,1,0,0
